"","Date","dxy","gold"
"1",2009-03-31,85.4300003051758,922.599975585938
"2",2009-04-01,85.5,926.099975585938
"3",2009-04-02,84.4499969482422,907.400024414062
"4",2009-04-03,84.1699981689453,895.599975585938
"5",2009-04-06,84.5699996948242,871.5
"6",2009-04-07,85.2900009155273,882.200012207031
"7",2009-04-08,85.3600006103516,884.799987792969
"8",2009-04-09,85.7900009155273,882.200012207031
"9",2009-04-13,84.6399993896484,894.700012207031
"10",2009-04-14,84.6399993896484,890.900024414062
"11",2009-04-15,85.0800018310547,892.799987792969
"12",2009-04-16,85.2300033569336,879.299987792969
"13",2009-04-17,85.9800033569336,867.400024414062
"14",2009-04-20,86.6399993896484,887
"15",2009-04-21,86.5800018310547,882.099975585938
"16",2009-04-22,86.1900024414062,891.799987792969
"17",2009-04-23,85.5199966430664,905.900024414062
"18",2009-04-24,84.7099990844727,913.599975585938
"19",2009-04-27,85.6999969482422,907.400024414062
"20",2009-04-28,85.1600036621094,892.799987792969
"21",2009-04-29,84.4700012207031,899.799987792969
"22",2009-04-30,84.6100006103516,890.700012207031
"23",2009-05-01,84.5500030517578,887.599975585938
"24",2009-05-04,83.9700012207031,901.599975585938
"25",2009-05-05,84.1600036621094,903.700012207031
"26",2009-05-06,83.8000030517578,910.5
"27",2009-05-07,83.9400024414062,915
"28",2009-05-08,82.5299987792969,914.400024414062
"29",2009-05-11,82.6800003051758,913
"30",2009-05-12,82.3099975585938,923.5
"31",2009-05-13,82.5,925.5
"32",2009-05-14,82.2799987792969,928
"33",2009-05-15,83.0199966430664,930.900024414062
"34",2009-05-18,82.6699981689453,921.299987792969
"35",2009-05-19,81.9800033569336,926.299987792969
"36",2009-05-20,80.9899978637695,937
"37",2009-05-21,80.5599975585938,950.799987792969
"38",2009-05-22,79.9599990844727,958.5
"39",2009-05-26,80.129997253418,953.099975585938
"40",2009-05-27,80.3300018310547,953.200012207031
"41",2009-05-28,80.4300003051758,961.5
"42",2009-05-29,80.4300003051758,978.799987792969
"43",2009-06-01,79.1699981689453,978.599975585938
"44",2009-06-02,78.4000015258789,983.200012207031
"45",2009-06-03,79.5,964.5
"46",2009-06-04,79.4100036621094,981.200012207031
"47",2009-06-05,80.6699981689453,961.700012207031
"48",2009-06-08,80.9100036621094,951.700012207031
"49",2009-06-09,79.7900009155273,954
"50",2009-06-10,80.3300018310547,954
"51",2009-06-11,79.4100036621094,961.299987792969
"52",2009-06-12,80.1399993896484,940.099975585938
"53",2009-06-15,81.1399993896484,926.900024414062
"54",2009-06-16,80.7099990844727,931.599975585938
"55",2009-06-17,80.1699981689453,935.400024414062
"56",2009-06-18,80.6100006103516,934
"57",2009-06-19,80.2600021362305,935.599975585938
"58",2009-06-22,80.7799987792969,920.599975585938
"59",2009-06-23,79.8399963378906,923.900024414062
"60",2009-06-24,80.5599975585938,934.099975585938
"61",2009-06-25,80.4000015258789,939.099975585938
"62",2009-06-26,79.879997253418,940.700012207031
"63",2009-06-29,79.8399963378906,940.400024414062
"64",2009-06-30,80.129997253418,927.099975585938
"65",2009-07-01,79.629997253418,941
"66",2009-07-02,80.1500015258789,930.700012207031
"67",2009-07-06,80.4499969482422,924
"68",2009-07-07,80.620002746582,928.799987792969
"69",2009-07-08,80.7699966430664,909
"70",2009-07-09,79.8600006103516,915.900024414062
"71",2009-07-10,80.2300033569336,912.200012207031
"72",2009-07-13,80.129997253418,922.200012207031
"73",2009-07-14,80.1800003051758,922.5
"74",2009-07-15,79.3199996948242,939.099975585938
"75",2009-07-16,79.2200012207031,935.099975585938
"76",2009-07-17,79.3499984741211,937.200012207031
"77",2009-07-20,78.9100036621094,948.5
"78",2009-07-21,78.9300003051758,946.599975585938
"79",2009-07-22,78.7099990844727,953
"80",2009-07-23,78.8000030517578,954.5
"81",2009-07-24,78.75,952.799987792969
"82",2009-07-27,78.629997253418,953.299987792969
"83",2009-07-28,78.8499984741211,939
"84",2009-07-29,79.629997253418,927.200012207031
"85",2009-07-30,79.2900009155273,934.900024414062
"86",2009-07-31,78.3499984741211,953.700012207031
"87",2009-08-03,77.6399993896484,956.599975585938
"88",2009-08-04,77.7699966430664,967.5
"89",2009-08-05,77.5199966430664,964.200012207031
"90",2009-08-06,78.0699996948242,960.700012207031
"91",2009-08-07,78.9700012207031,957.299987792969
"92",2009-08-10,79.2600021362305,945
"93",2009-08-11,79.1800003051758,945.799987792969
"94",2009-08-12,78.7900009155273,950.700012207031
"95",2009-08-13,78.4899978637695,954.700012207031
"96",2009-08-14,78.8899993896484,947
"97",2009-08-17,79.2900009155273,934.299987792969
"98",2009-08-18,78.9400024414062,937.700012207031
"99",2009-08-19,78.4700012207031,943.299987792969
"100",2009-08-20,78.379997253418,940.299987792969
"101",2009-08-21,78.0400009155273,953.200012207031
"102",2009-08-24,78.2699966430664,942.299987792969
"103",2009-08-25,78.2399978637695,944.5
"104",2009-08-26,78.6600036621094,944.299987792969
"105",2009-08-27,78.0100021362305,945.5
"106",2009-08-28,78.370002746582,957
"107",2009-08-31,78.1699981689453,951.700012207031
"108",2009-09-01,78.7600021362305,954.700012207031
"109",2009-09-02,78.379997253418,976.599975585938
"110",2009-09-03,78.4599990844727,995.799987792969
"111",2009-09-04,78.1399993896484,994.900024414062
"112",2009-09-08,77.3199996948242,997.900024414062
"113",2009-09-09,77.0899963378906,995.299987792969
"114",2009-09-10,76.8199996948242,995.400024414062
"115",2009-09-11,76.6100006103516,1004.90002441406
"116",2009-09-14,76.6999969482422,999.900024414062
"117",2009-09-15,76.5400009155273,1005
"118",2009-09-16,76.2399978637695,1018.90002441406
"119",2009-09-17,76.1900024414062,1012.29998779297
"120",2009-09-18,76.4300003051758,1009.20001220703
"121",2009-09-21,76.7799987792969,1003.70001220703
"122",2009-09-22,76.120002746582,1014.20001220703
"123",2009-09-23,76.0500030517578,1013
"124",2009-09-24,76.9000015258789,997.5
"125",2009-09-25,76.8099975585938,990.200012207031
"126",2009-09-28,77.0500030517578,992.5
"127",2009-09-29,77.120002746582,993.099975585938
"128",2009-09-30,76.6500015258789,1008
"129",2009-10-01,77.1900024414062,999.5
"130",2009-10-02,77,1003.20001220703
"131",2009-10-05,76.6399993896484,1016.70001220703
"132",2009-10-06,76.3399963378906,1038.59997558594
"133",2009-10-07,76.4899978637695,1043.30004882812
"134",2009-10-08,75.9700012207031,1055.40002441406
"135",2009-10-09,76.4300003051758,1047.80004882812
"136",2009-10-12,76.129997253418,1056.69995117188
"137",2009-10-13,75.9800033569336,1064.19995117188
"138",2009-10-14,75.5500030517578,1063.90002441406
"139",2009-10-15,75.4800033569336,1049.80004882812
"140",2009-10-16,75.5999984741211,1050.69995117188
"141",2009-10-19,75.5100021362305,1057.30004882812
"142",2009-10-20,75.5699996948242,1057.80004882812
"143",2009-10-21,74.9700012207031,1063.69995117188
"144",2009-10-22,75.0899963378906,1057.80004882812
"145",2009-10-23,75.4700012207031,1055.59997558594
"146",2009-10-26,76.0599975585938,1042.09997558594
"147",2009-10-27,76.1399993896484,1034.69995117188
"148",2009-10-28,76.4300003051758,1029.90002441406
"149",2009-10-29,75.9199981689453,1046.40002441406
"150",2009-10-30,76.3000030517578,1039.69995117188
"151",2009-11-02,76.2900009155273,1053.40002441406
"152",2009-11-03,76.3899993896484,1084.30004882812
"153",2009-11-04,75.6399993896484,1086.69995117188
"154",2009-11-05,75.7399978637695,1088.69995117188
"155",2009-11-06,75.8199996948242,1095.09997558594
"156",2009-11-09,75.0299987792969,1100.80004882812
"157",2009-11-10,75.0199966430664,1101.90002441406
"158",2009-11-11,75.1600036621094,1114
"159",2009-11-12,75.5999984741211,1106
"160",2009-11-13,75.3300018310547,1116.09997558594
"161",2009-11-16,74.9100036621094,1138.59997558594
"162",2009-11-17,75.370002746582,1138.80004882812
